date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:34	52956/52956	---MCZ	200	added ('OK')	text/html	etag:%222871955bee5d8c2e83b73a1ae787cd1f%22	http://zakulturnepolitike.net/	./zakulturnepolitike.net/index/index.html	(from )
14:20:36	32210/32210	---M--	200	added ('OK')	text/css	etag:%227dd2-57ef22fa4ce74%22	http://zakulturnepolitike.net/sites/default/files/css/css_0afd24a75f90314e424cc069f7765b2d.css	./zakulturnepolitike.net/sites/default/files/css/css_0afd24a75f90314e424cc069f7765b2d/index.css	(from http://zakulturnepolitike.net/)
14:20:38	24604/24604	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2008%20Jan%202019%2013:20:34%20GMT	http://zakulturnepolitike.net/rss.xml	./zakulturnepolitike.net/rss/index.xml	(from http://zakulturnepolitike.net/)
14:20:38	705/705	---M--	200	added ('OK')	text/css	etag:%222c1-57ef22f690d7e%22	http://zakulturnepolitike.net/sites/default/files/css/css_730b4bcae765a41fe71b9ab3043c8b2c.css	./zakulturnepolitike.net/sites/default/files/css/css_730b4bcae765a41fe71b9ab3043c8b2c/index.css	(from http://zakulturnepolitike.net/)
14:20:44	37319/37319	---MC-	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2013:20:40%20GMT	http://zakulturnepolitike.net/saopstenje-za-javnost-nakon-odrzanog-javnog-razgovora-o-kulturnoj-politici-grada-%e2%80%9ejavni-novac-trazi-	./zakulturnepolitike.net/saopstenje-za-javnost-nakon-odrzanog-javnog-razgovora-o-kulturnoj-politici-grada-%e2%80%9ejavni-novac-trazi-/index.html	(from http://zakulturnepolitike.net/)
14:20:46	72394/72394	---M--	200	added ('OK')	application/javascript	etag:%2211aca-57ef22f692cbe%22	http://zakulturnepolitike.net/sites/default/files/js/js_4b0f3018787967fceeeff32c6b535b89.js	./zakulturnepolitike.net/sites/default/files/js/js_4b0f3018787967fceeeff32c6b535b89/index.js	(from http://zakulturnepolitike.net/)
14:20:46	33182/33182	---M--	200	added ('OK')	image/jpeg	etag:%22819e-473c3a5e66780%22	http://zakulturnepolitike.net/sites/default/files/za-kulturne-politike-logo-s.jpg	./zakulturnepolitike.net/sites/default/files/za-kulturne-politike-logo-s/index.jpg	(from http://zakulturnepolitike.net/)
14:20:46	35859/35859	---MC-	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2013:20:42%20GMT	http://zakulturnepolitike.net/tribine/izvestaji	./zakulturnepolitike.net/tribine/izvestaji/index.html	(from http://zakulturnepolitike.net/)
14:20:48	62517/62517	---MC-	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2013:20:44%20GMT	http://zakulturnepolitike.net/tribine	./zakulturnepolitike.net/tribine/index.html	(from http://zakulturnepolitike.net/)
14:20:50	52360/52360	---MC-	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2013:20:46%20GMT	http://zakulturnepolitike.net/blog/administrator	./zakulturnepolitike.net/blog/administrator/index.html	(from http://zakulturnepolitike.net/)
14:20:52	25224/25224	---MC-	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2013:20:48%20GMT	http://zakulturnepolitike.net/user/login?destination=comment/reply/124%2523comment-form	./zakulturnepolitike.net/user/login/index.html	(from http://zakulturnepolitike.net/)
14:20:54	31217/31217	---MC-	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2013:20:50%20GMT	http://zakulturnepolitike.net/poziv-na-javni-razgovor-o-kulturnoj-politici-u-novom-sadu-javni-novac-trazi-javnu-odgovornost	./zakulturnepolitike.net/poziv-na-javni-razgovor-o-kulturnoj-politici-u-novom-sadu-javni-novac-trazi-javnu-odgovornost/index.html	(from http://zakulturnepolitike.net/)
14:20:56	50653/50653	---MC-	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2013:20:52%20GMT	http://zakulturnepolitike.net/tribine/najave	./zakulturnepolitike.net/tribine/najave/index.html	(from http://zakulturnepolitike.net/)
14:20:58	25224/25224	---MC-	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2013:20:54%20GMT	http://zakulturnepolitike.net/user/login?destination=comment/reply/123%2523comment-form	./zakulturnepolitike.net/user/login/index-2.html	(from http://zakulturnepolitike.net/)
14:21:00	29513/29513	---MC-	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2013:20:56%20GMT	http://zakulturnepolitike.net/zkp-godinu-dana-posle	./zakulturnepolitike.net/zkp-godinu-dana-posle/index.html	(from http://zakulturnepolitike.net/)
14:21:02	51079/51079	---MC-	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2013:20:58%20GMT	http://zakulturnepolitike.net/reagovanja	./zakulturnepolitike.net/reagovanja/index.html	(from http://zakulturnepolitike.net/)
14:21:02	443/443	---M--	200	added ('OK')	image/png	etag:%221bb-44ebab2d48b80%22	http://zakulturnepolitike.net/sites/all/modules/filefield/icons/protocons/16x16/mimetypes/image-x-generic.png	./zakulturnepolitike.net/sites/all/modules/filefield/icons/protocons/16x16/mimetypes/image-x-generic/index.png	(from http://zakulturnepolitike.net/)
14:21:06	25224/25224	---MC-	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2013:21:03%20GMT	http://zakulturnepolitike.net/user/login?destination=comment/reply/120%2523comment-form	./zakulturnepolitike.net/user/login/index-3.html	(from http://zakulturnepolitike.net/)
14:21:08	29042/29042	---MC-	200	added ('OK')	text/html	date:Tue,%2008%20Jan%202019%2013:21:04%20GMT	http://zakulturnepolitike.net/saopstenje-za-medije-o-otkazivanju-tribine-18-juna-2010	./zakulturnepolitike.net/saopstenje-za-medije-o-otkazivanju-tribine-18-juna-2010/index.html	(from http://zakulturnepolitike.net/)
